CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
3203205,Linhares,32,ES,483.8869026013304,509.73936561880447,522.1305012744264,535.3762552934054,591.9003115264798
3203304,Mantenópolis,32,ES,452.6207999999999,478.3172932330827,492.7105263157893,500.34240000000005,520.7518796992481
3203320,Marataízes,32,ES,476.7576982892697,504.8285094066565,522.4322720694653,538.2869362363917,571.4616497829232
3203346,Marechal Floriano,32,ES,502.5753571428575,538.0346020761249,533.6065743944637,567.1339285714291,610.726643598616
3203353,Marilândia,32,ES,485.20471698113226,522.7911504424777,521.287168141593,554.3636792452829,599.6460176991151
3203403,Mimoso do Sul,32,ES,481.0991354466864,504.5604904632155,513.3495912806541,531.8311239193081,584.741144414169
3203502,Montanha,32,ES,478.1892655367234,499.93607427055696,512.9206896551724,519.9341807909609,588.3289124668435
3203601,Mucurici,32,ES,470.6191489361702,495.8707070707073,508.7080808080808,500.7585106382979,598.989898989899
3203700,Muniz Freire,32,ES,480.56397306397326,509.0592715231784,510.0682119205299,531.7764309764307,567.1523178807947
3203809,Muqui,32,ES,475.4461224489798,501.2515873015869,511.2285714285717,519.1424489795916,578.968253968254
3203908,Nova Venécia,32,ES,482.0214201183433,508.7056947608205,520.8905466970384,538.7370414201185,579.1799544419134
3204005,Pancas,32,ES,466.413551401869,499.1322869955156,511.5506726457397,530.5892523364487,561.9730941704036
3204054,Pedro Canário,32,ES,457.922760290557,486.8818181818184,504.16454545454513,498.2489104116222,526.6818181818181
3204104,Pinheiros,32,ES,459.8513440860215,488.00025510204085,505.819132653061,505.3182795698924,551.530612244898
3204203,Piúma,32,ES,483.9005797101451,516.7896648044691,528.0589385474857,531.7611594202899,606.2569832402235
3204252,Ponto Belo,32,ES,466.74173913043467,492.1598360655737,505.62459016393456,506.728695652174,585.4098360655738
3204302,Presidente Kennedy,32,ES,453.0412121212123,461.6888888888889,485.1555555555555,495.5775757575759,496.2573099415205
3204351,Rio Bananal,32,ES,479.6829545454542,509.7593406593405,514.2564102564102,540.5636363636363,609.1575091575091
3204401,Rio Novo do Sul,32,ES,486.4702586206898,511.6987124463522,519.0656652360518,543.7741379310345,620.1716738197425
3204500,Santa Leopoldina,32,ES,477.2553030303032,498.5594202898549,509.3557971014494,521.6863636363638,534.7826086956521
3204559,Santa Maria de Jetibá,32,ES,486.37755991285405,521.4388429752066,529.9221074380165,540.5625272331158,599.297520661157
3204609,Santa Teresa,32,ES,512.2343902439023,542.4673758865249,538.655555555555,572.5351219512195,642.3640661938534
3204658,São Domingos do Norte,32,ES,473.8468750000001,498.7866666666666,508.51851851851865,521.7210937499999,557.1851851851852
3204708,São Gabriel da Palha,32,ES,482.0470954356847,513.7594059405942,521.2570297029702,534.7311203319505,586.059405940594
3204807,São José do Calçado,32,ES,484.6371681415928,500.59918699186994,513.6943089430895,516.4566371681417,537.560975609756
3204906,São Mateus,32,ES,478.61015013054913,505.20562075355207,516.3464484249545,524.0859007832902,561.8406423718345
3204955,São Roque do Canaã,32,ES,478.2178160919538,509.2683333333334,513.5222222222222,526.7729885057469,641.4444444444445
3205002,Serra,32,ES,480.96793060953365,511.6622000705706,524.257718772051,528.8526116219525,563.8055751587862
